NAICS,GEO,YEAR,VALUE
Accommodation and food services,Alberta,2012,12.93
Accommodation and food services,Alberta,2013,13
Accommodation and food services,Alberta,2014,13
Accommodation and food services,Alberta,2015,14
Accommodation and food services,Alberta,2016,13.5
Accommodation and food services,Alberta,2017,14
Accommodation and food services,Alberta,2018,15
Accommodation and food services,Alberta,2019,16
Accommodation and food services,Alberta,2020,16
Accommodation and food services,Alberta,2021,16
Accommodation and food services,British Columbia,2012,12
Accommodation and food services,British Columbia,2013,12
Accommodation and food services,British Columbia,2014,12.5
Accommodation and food services,British Columbia,2015,12.78
Accommodation and food services,British Columbia,2016,13
Accommodation and food services,British Columbia,2017,13.56
Accommodation and food services,British Columbia,2018,13.82
Accommodation and food services,British Columbia,2019,15
Accommodation and food services,British Columbia,2020,16.12
Accommodation and food services,British Columbia,2021,17
Accommodation and food services,Canada,2012,11.17
Accommodation and food services,Canada,2013,11.6
Accommodation and food services,Canada,2014,12
Accommodation and food services,Canada,2015,12
Accommodation and food services,Canada,2016,12.25
Accommodation and food services,Canada,2017,12.97
Accommodation and food services,Canada,2018,14
Accommodation and food services,Canada,2019,15
Accommodation and food services,Canada,2020,15
Accommodation and food services,Canada,2021,15.08
Accommodation and food services,Manitoba,2012,11
Accommodation and food services,Manitoba,2013,11
Accommodation and food services,Manitoba,2014,11.38
Accommodation and food services,Manitoba,2015,12
Accommodation and food services,Manitoba,2016,12
Accommodation and food services,Manitoba,2017,12
Accommodation and food services,Manitoba,2018,12.45
Accommodation and food services,Manitoba,2019,12.42
Accommodation and food services,Manitoba,2020,13
Accommodation and food services,Manitoba,2021,13
Accommodation and food services,New Brunswick,2012,10.9
Accommodation and food services,New Brunswick,2013,11
Accommodation and food services,New Brunswick,2014,11
Accommodation and food services,New Brunswick,2015,11.38
Accommodation and food services,New Brunswick,2016,11.98
Accommodation and food services,New Brunswick,2017,12
Accommodation and food services,New Brunswick,2018,12.08
Accommodation and food services,New Brunswick,2019,12.5
Accommodation and food services,New Brunswick,2020,13
Accommodation and food services,New Brunswick,2021,13
Accommodation and food services,Newfoundland and Labrador,2012,11
Accommodation and food services,Newfoundland and Labrador,2013,11.9
Accommodation and food services,Newfoundland and Labrador,2014,11.58
Accommodation and food services,Newfoundland and Labrador,2015,11.88
Accommodation and food services,Newfoundland and Labrador,2016,12
Accommodation and food services,Newfoundland and Labrador,2017,12
Accommodation and food services,Newfoundland and Labrador,2018,12.25
Accommodation and food services,Newfoundland and Labrador,2019,12.65
Accommodation and food services,Newfoundland and Labrador,2020,13.48
Accommodation and food services,Newfoundland and Labrador,2021,13.2
Accommodation and food services,Nova Scotia,2012,11
Accommodation and food services,Nova Scotia,2013,12
Accommodation and food services,Nova Scotia,2014,11.54
Accommodation and food services,Nova Scotia,2015,11.45
Accommodation and food services,Nova Scotia,2016,12
Accommodation and food services,Nova Scotia,2017,11.82
Accommodation and food services,Nova Scotia,2018,12.38
Accommodation and food services,Nova Scotia,2019,12.5
Accommodation and food services,Nova Scotia,2020,13
Accommodation and food services,Nova Scotia,2021,13.98
Accommodation and food services,Ontario,2012,11
Accommodation and food services,Ontario,2013,11
Accommodation and food services,Ontario,2014,11.42
Accommodation and food services,Ontario,2015,11.5
Accommodation and food services,Ontario,2016,12
Accommodation and food services,Ontario,2017,12
Accommodation and food services,Ontario,2018,14
Accommodation and food services,Ontario,2019,14.73
Accommodation and food services,Ontario,2020,15
Accommodation and food services,Ontario,2021,15
Accommodation and food services,Prince Edward Island,2012,10.32
Accommodation and food services,Prince Edward Island,2013,10.92
Accommodation and food services,Prince Edward Island,2014,11
Accommodation and food services,Prince Edward Island,2015,11.18
Accommodation and food services,Prince Edward Island,2016,11.66
Accommodation and food services,Prince Edward Island,2017,12
Accommodation and food services,Prince Edward Island,2018,12
Accommodation and food services,Prince Edward Island,2019,13
Accommodation and food services,Prince Edward Island,2020,14
Accommodation and food services,Prince Edward Island,2021,14
Accommodation and food services,Quebec,2012,11
Accommodation and food services,Quebec,2013,11.25
Accommodation and food services,Quebec,2014,12
Accommodation and food services,Quebec,2015,12
Accommodation and food services,Quebec,2016,12.28
Accommodation and food services,Quebec,2017,12.9
Accommodation and food services,Quebec,2018,13.5
Accommodation and food services,Quebec,2019,14.27
Accommodation and food services,Quebec,2020,15
Accommodation and food services,Quebec,2021,15
Accommodation and food services,Saskatchewan,2012,11.5
Accommodation and food services,Saskatchewan,2013,12
Accommodation and food services,Saskatchewan,2014,12
Accommodation and food services,Saskatchewan,2015,12.18
Accommodation and food services,Saskatchewan,2016,13
Accommodation and food services,Saskatchewan,2017,13
Accommodation and food services,Saskatchewan,2018,13
Accommodation and food services,Saskatchewan,2019,13.1
Accommodation and food services,Saskatchewan,2020,13
Accommodation and food services,Saskatchewan,2021,13.25
Agriculture,Alberta,2012,16.63
Agriculture,Alberta,2013,14.5
Agriculture,Alberta,2014,16.5
Agriculture,Alberta,2015,18.23
Agriculture,Alberta,2016,20
Agriculture,Alberta,2017,19.5
Agriculture,Alberta,2018,19.7
Agriculture,Alberta,2019,19.5
Agriculture,Alberta,2020,21.6
Agriculture,Alberta,2021,22
Agriculture,British Columbia,2012,14.21
Agriculture,British Columbia,2013,15
Agriculture,British Columbia,2014,15
Agriculture,British Columbia,2015,15
Agriculture,British Columbia,2016,14.75
Agriculture,British Columbia,2017,16.62
Agriculture,British Columbia,2018,18
Agriculture,British Columbia,2019,19.12
Agriculture,British Columbia,2020,20
Agriculture,British Columbia,2021,20
Agriculture,Canada,2012,14.46
Agriculture,Canada,2013,14
Agriculture,Canada,2014,15
Agriculture,Canada,2015,15
Agriculture,Canada,2016,16
Agriculture,Canada,2017,16
Agriculture,Canada,2018,17
Agriculture,Canada,2019,17.25
Agriculture,Canada,2020,18
Agriculture,Canada,2021,18.9
Agriculture,Manitoba,2012,15.44
Agriculture,Manitoba,2013,15
Agriculture,Manitoba,2014,16
Agriculture,Manitoba,2015,16.59
Agriculture,Manitoba,2016,17
Agriculture,Manitoba,2017,17.5
Agriculture,Manitoba,2018,17.28
Agriculture,Manitoba,2019,19.26
Agriculture,Manitoba,2020,19.68
Agriculture,Manitoba,2021,21
Agriculture,New Brunswick,2012,14.08
Agriculture,New Brunswick,2013,14.2
Agriculture,New Brunswick,2014,14
Agriculture,New Brunswick,2015,15
Agriculture,New Brunswick,2016,15
Agriculture,New Brunswick,2017,16.06
Agriculture,New Brunswick,2018,17.43
Agriculture,New Brunswick,2019,16.5
Agriculture,New Brunswick,2020,16.75
Agriculture,New Brunswick,2021,16.95
Agriculture,Newfoundland and Labrador,2012,13.48
